Station,Week,AAS,TLH,CUME,SS,TSL
414 Music,2024-07-22,0.544249339,91.43388889,48,138,01:54
414 Music,2024-12-16,0.534589947,89.81111111,58,140,01:33
414 Music,2024-01-01,0.512832341,86.15583333,49,87,01:46
414 Music,2024-11-11,0.501618717,84.27194444,57,109,01:29
414 Music,2024-01-08,0.497799272,83.63027778,51,120,01:38
414 Music,2025-05-12,0.489031085,82.15722222,59,148,01:24
414 Music,2024-12-23,0.481167328,80.83611111,53,125,01:32
414 Music,2024-08-05,0.463412698,77.85333333,60,127,01:18
414 Music,2025-02-17,0.435582011,73.17777778,74,153,00:59
414 Music,2024-09-30,0.423989749,71.23027778,63,133,01:08
414 Music,2025-04-21,0.423874008,71.21083333,58,122,01:14
414 Music,2025-04-14,0.403655754,67.81416667,71,147,00:57
414 Music,2024-09-16,0.353870701,59.45027778,50,101,01:11
414 Music,2025-09-08,0.34661045,58.23055556,58,132,01:00
414 Music,2025-03-31,0.341554233,57.38111111,60,94,00:57
414 Music,2025-09-29,1.175243056,56.41166667,33,102,01:43
414 Music,2024-11-25,0.332691799,55.89222222,55,121,01:01
414 Music,2024-02-05,0.302700066,50.85361111,33,86,01:32
414 Music,2024-01-22,0.224307209,37.68361111,34,71,01:07
414 Music,2024-07-15,0.218272156,36.66972222,41,101,00:54
414 Music,2024-07-01,0.176800595,29.7025,44,105,00:41
